0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-0.95,-9.87,2.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-0.95,-9.87,2.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-0.87,-9.87,2.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-0.87,-9.87,2.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-0.76,-10.41,2.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-0.76,-10.41,2.75,-0.04,-0.04,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,
-0.57,-8.88,2.83,-0.04,-0.04,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,
-0.64,-8.61,3.33,-0.04,-0.04,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,
-0.64,-8.61,3.33,-0.01,-0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,
-0.68,-9.22,2.79,-0.01,-0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,
-0.68,-9.22,2.79,-0.01,-0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,
-0.68,-9.38,2.52,-0.01,-0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,
-0.64,-9.64,2.48,-0.01,-0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,
-0.68,-9.64,2.83,-0.01,-0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,
-0.60,-9.30,2.95,-0.01,-0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,
-0.60,-9.30,2.95,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-0.60,-9.30,2.95,-0.01,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,
-0.60,-9.49,3.14,-0.01,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,
-0.72,-9.18,3.29,-0.01,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,
-0.68,-9.22,3.06,-0.01,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,
