0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,236
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,257
-1.00,9.87,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,260
-1.04,9.87,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,264
-0.96,9.87,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,268
-0.96,9.87,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,272
-1.04,9.79,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,276
-1.04,9.79,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,279
-1.11,9.75,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,283
-1.11,9.75,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,287
-1.07,9.75,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,291
-1.07,9.75,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,295
-1.00,9.68,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300
-1.04,9.72,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,304
-0.96,9.72,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,308
-0.96,9.75,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,312
-0.96,9.72,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,316
-0.96,9.72,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,319
-0.96,9.72,0.31,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,323
-0.96,9.72,0.31,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,327
-0.92,9.75,0.31,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,332
-0.96,9.75,0.27,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,336
-0.96,9.75,0.27,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,342
-0.96,9.75,0.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,347
-0.96,9.75,0.20,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,351
-0.96,9.72,0.35,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,355
-0.96,9.72,0.35,-0.01,-0.01,0.01,0.00,0.00,0.00,0.00,359
-1.04,9.75,0.31,-0.01,-0.01,0.01,0.00,0.00,0.00,0.00,363
-1.04,9.79,0.31,-0.01,-0.01,0.01,0.00,0.00,0.00,0.00,367
-1.04,9.79,0.31,0.01,-0.00,-0.00,0.00,0.00,0.00,0.00,371
-0.96,9.79,0.31,0.01,-0.00,-0.00,0.00,0.00,0.00,0.00,375
-0.96,9.79,0.31,0.01,-0.01,-0.00,0.00,0.00,0.00,0.00,380
-1.00,9.79,0.35,0.01,-0.01,-0.00,0.00,0.00,0.00,0.00,385
-1.00,9.75,0.31,0.01,-0.01,-0.00,0.00,0.00,0.00,0.00,390
-1.00,9.83,0.35,0.01,-0.01,-0.00,0.00,0.00,0.00,0.00,394
-1.04,9.79,0.43,0.01,-0.01,-0.00,0.00,0.00,0.00,0.00,398
-1.04,9.79,0.43,0.01,-0.01,-0.00,0.42,-0.56,-0.61,0.37,402
-1.00,9.75,0.35,0.01,-0.01,-0.00,0.42,-0.56,-0.61,0.37,406
-1.00,9.75,0.35,0.00,-0.01,0.00,0.42,-0.56,-0.61,0.37,410
